ASA_Number,Tattoo,Eid,Name,Sex,Breeds,Color,Hps,GeneticHps,BirthWtAdj,BWT_Ratio,Weaning>WtAdj,Weaning>WWT_Ratio,Yearling>WtAdj,Yearling>YWT_Ratio,Yearling>Adj_Scr,Yearling>Adj_Pelvic_Area,Ultrasound>WtAdj,Ultrasound>WtRatio,Ultrasound>IMFAdj,Ultrasound>IMFRatio,Ultrasound>BFAdj,Ultrasound>BFRatio,Ultrasound>REAAdj,Ultrasound>REARatio,Epds>CeEpd,Epds>CeAcc,Percentile>CE,Epds>BirthWtEpd,Epds>BirthWtAcc,Percentile>BW,Epds>WeanWtEpd,Epds>WeanWtAcc,Percentile>WW,Epds>YearlingWtEpd,Epds>YearlingWtAcc,Percentile>YW,Epds>MceEpd,Epds>MceAcc,Percentile>MCE,Epds>MilkEpd,Epds>MilkAcc,Percentile>Milk,Epds>MwwEpd,Epds>MwwAcc,Percentile>MWW,Epds>StayEpd,Epds>StayAcc,Percentile>Stay,Epds>DocEpd,Epds>DocAcc,Percentile>Doc,Epds>CarcassWtEpd,Epds>CarcassWtAcc,Percentile>CW,Epds>YieldGradeEpd,Epds>YieldGradeAcc,Percentile>YG,Epds>MarblingEpd,Epds>MarblingAcc,Percentile>Marb,Epds>BackFatEpd,Epds>BackFatAcc,Percentile>BF,Epds>RibEyeEpd,Epds>RibEyeAcc,Percentile>REA,Epds>ShrForceEpd,Epds>ShrForceAcc,Percentile>SF,Epds>Api,Percentile>API,Epds>Ti,Percentile>TI
3009999,41C,0,RHF-SFG 0053Z 427Z 41C,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,94,113,639,101,1038,96,37.9,0,1044.0,94,4.93,122,0.18,113,12.93,91,14.6,0.59,25,-1.5,0.78,20,55.0,0.69,99,87.3,0.69,95,8.0,0.38,30,18.0,0.29,90,45.4,0.40,99,15.8,0.27,40,17.0,0.39,4,19.9,0.63,90,-0.12,0.49,80,0.76,0.63,3,0.008,0.54,99,0.57,0.61,65,-0.31,0.18,70,154.8,10,78.3,45
2942929,B16,0,IR FULLY LOADED B16,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,72,0,592,0,960,0,31.3,0,829.0,96,3.18,102,0.13,87,10.30,100,17.7,0.66,5,-3.9,0.82,3,57.2,0.77,99,89.2,0.75,95,10.8,0.46,4,27.2,0.42,15,55.8,0.51,75,15.4,0.35,45,9.0,0.57,85,14.2,0.66,99,-0.01,0.50,99,0.53,0.65,15,0.024,0.54,99,0.31,0.63,95,-0.12,0.20,99,149.8,15,77.4,50
3009940,71C,0,REDHILL MUSKOKA 71C,B,3/4 SM 1/8 AN 1/8 HP,R,P,Homozygous Polled,88,106,630,114,1187,110,34.7,0,1191.0,108,5.02,127,0.16,89,15.41,110,13.6,0.57,35,0.1,0.71,45,76.1,0.67,45,117.4,0.68,45,8.0,0.37,30,17.8,0.33,90,55.8,0.43,75,15.7,0.35,40,13.1,0.45,35,28.4,0.58,65,-0.41,0.42,10,0.36,0.51,40,-0.082,0.41,10,0.90,0.54,15,-0.34,0.18,55,138.7,30,80.4,35
2720494,9349Z,0,CCR SANTA FE 9349Z,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,85,0,842,0,1272,0,0,0,1275.0,114,2.49,96,0.17,142,13.37,105,9.3,0.78,85,0.8,0.91,60,82.5,0.88,25,119.9,0.87,40,7.9,0.69,35,11.8,0.73,99,53.0,0.78,85,17.2,0.57,20,7.5,0.56,95,23.6,0.76,80,-0.30,0.56,30,0.02,0.72,99,-0.040,0.61,65,0.82,0.72,25,-0.44,0.17,10,126.1,55,76.8,55
3312276,E283,840003142544867,KBHR HIGH ROAD E283,B,PB SM,B,P,Homozygous Polled,94,0,792,0,1513,0,0,0,1455.0,100,3.07,100,0.26,100,18.17,100,14.8,0.72,10,-1.3,0.86,10,100.4,0.83,1,154.4,0.82,1,10.6,0.37,2,30.6,0.31,10,80.8,0.42,1,17.0,0.32,40,14.7,0.50,15,55.6,0.64,1,-0.42,0.48,55,0.62,0.59,1,-0.049,0.50,99,1.51,0.60,1,-0.37,0.09,35,178.5,1,108.8,1
3459048,388F,0,TJ HEISMAN 388F,B,PB SM,B,P,Homozygous Polled,87,99,812,117,1315,115,0,0,1184.0,106,4.91,131,0.22,81,13.15,101,7.3,0.64,90,2.1,0.77,60,93.7,0.74,4,142.7,0.72,5,4.1,0.33,80,30.7,0.14,10,77.5,0.28,2,21.9,0.32,2,13.9,0.44,20,38.4,0.60,20,-0.23,0.43,99,0.57,0.48,2,-0.055,0.43,99,0.68,0.53,90,-0.46,0.06,4,165.6,2,97.2,2
2735656,CLRS 604A,0,CLRS AFTER SHOCK 604 A,B,PB SM,B,P,Homozygous Polled,82,95,758,110,1356,108,0,0,1357.0,106,3.45,103,0.25,100,15.71,105,13.2,0.76,20,0.6,0.90,30,86.2,0.88,20,126.9,0.87,25,3.8,0.67,85,11.5,0.68,99,54.6,0.74,85,14.0,0.58,80,15.2,0.41,10,44.9,0.73,10,-0.28,0.55,99,0.15,0.69,40,-0.077,0.60,80,0.75,0.71,80,-0.42,0.17,15,134.1,35,83.1,25
3403352,40F,840003200620522,HOOK`S FRONTLINE 40F,B,PB SM,B,P,Homozygous Polled,83,94,639,95,1358,104,39.1,0,1363.0,103,4.35,107,0.37,109,15.31,106,14.2,0.59,15,-1.3,0.79,10,74.0,0.75,60,112.3,0.72,55,7.5,0.30,20,26.0,0.21,30,63.0,0.34,45,19.6,0.29,15,14.0,0.40,20,23.9,0.51,75,-0.42,0.42,55,0.43,0.49,5,-0.070,0.42,95,0.97,0.53,30,-0.45,0.10,5,161.6,3,87.5,15
3582577,274G,0,TJ GOLD 274G,B,PB SM,B,P,Homozygous Polled,80,0,843,0,1278,0,37.1,0,0,0,0,0,0,0,0,0,15.0,0.43,10,-1.0,0.45,10,91.8,0.44,10,144.7,0.44,4,8.5,0.24,10,28.5,0.17,15,74.3,0.26,5,18.7,0.28,20,16.2,0.35,5,34.6,0.47,30,-0.25,0.37,99,0.41,0.43,10,-0.043,0.37,99,0.77,0.47,75,-0.48,0.05,2,166.6,2,97.3,2
3555669,JC403G,0,JC MR TALON 403G,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,76,87,704,101,1115,96,0,0,1119.0,94,2.55,107,0.18,95,14.09,108,20.5,0.46,1,-5.2,0.50,1,76.6,0.48,45,121.2,0.49,35,12.7,0.25,1,25.1,0.17,30,63.3,0.27,30,20.0,0.27,4,17.8,0.34,2,22.3,0.50,85,-0.28,0.38,35,0.37,0.45,35,-0.030,0.37,75,0.81,0.47,25,-0.56,0.07,1,165.8,3,88.2,10
3611850,528G,0,TJ RRR XCEPTIONAL 528G,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,86,97,840,124,1402,119,38.3,0,0,0,0,0,0,0,0,0,13.9,0.43,30,-1.9,0.47,15,86.5,0.46,15,143.3,0.46,10,10.0,0.23,10,32.6,0.16,2,75.8,0.26,2,19.3,0.25,10,14.1,0.34,25,45.4,0.47,15,-0.03,0.37,95,0.86,0.40,2,-0.005,0.38,95,0.51,0.44,75,-0.27,0.05,90,181.2,1,102.0,1
2910249,487B,0,MCDF BRIGADIER 487B,B,PB SM,B,P,Homozygous Polled,102,118,687,115,1301,117,37.4,0,1298.0,119,2.91,112,0.15,107,13.71,113,2.2,0.58,99,7.3,0.71,99,101.3,0.68,1,166.9,0.68,1,0.2,0.38,99,31.8,0.35,5,82.4,0.45,1,20.8,0.33,4,12.0,0.41,40,54.7,0.61,1,-0.43,0.46,50,0.46,0.57,4,-0.098,0.46,40,1.15,0.57,10,-0.40,0.17,20,148.6,15,93.8,3
3116712,6462D,0,6462D,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,84,101,655,103,1261,109,0,0,1186.0,107,2.85,104,0.17,89,16.21,111,13.1,0.49,40,1.3,0.57,70,79.3,0.55,35,124.4,0.55,30,6.1,0.28,65,25.1,0.22,30,64.7,0.32,25,22.3,0.30,1,13.4,0.37,30,31.6,0.54,55,-0.29,0.42,35,0.24,0.48,65,-0.062,0.46,25,0.72,0.49,40,-0.48,0.19,3,143.5,25,78.2,45
3288497,366E,0,TJ ROOSEVELT 366E,B,PB SM,B,P,Homozygous Polled,85,94,820,127,1249,118,0,0,1123.0,107,3.55,106,0.19,100,12.17,99,7.9,0.63,85,2.8,0.81,75,93.1,0.78,5,133.7,0.74,15,4.8,0.37,70,33.1,0.25,3,79.6,0.37,1,20.9,0.39,4,16.1,0.42,5,35.1,0.62,30,-0.33,0.46,90,0.28,0.56,20,-0.053,0.48,99,0.95,0.55,35,-0.47,0.18,3,146.4,15,89.2,10
3459734,783F,0,TJ TEARDROP 783F,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,87,0,863,0,1291,0,0,0,1144.0,106,3.12,81,0.24,89,12.63,97,17.4,0.64,10,-1.8,0.82,15,87.4,0.78,15,133.0,0.75,15,7.6,0.37,40,37.9,0.28,1,81.6,0.39,1,20.6,0.32,3,13.7,0.51,25,47.9,0.56,10,-0.28,0.43,35,0.09,0.49,90,-0.068,0.41,25,0.84,0.58,20,-0.31,0.08,70,145.3,20,84.5,20
3303671,E7209,0,ASR STRONG ARM E7209,B,PB SM,B,P,Homozygous Polled,92,0,695,0,1160,0,0,0,1160.0,106,2.63,92,0.17,121,12.92,97,12.3,0.52,30,1.9,0.59,55,85.5,0.55,20,129.2,0.53,20,6.2,0.33,45,22.2,0.27,60,64.9,0.35,35,20.5,0.35,10,13.9,0.30,20,27.7,0.55,60,-0.36,0.43,85,0.27,0.48,20,-0.076,0.47,80,0.76,0.52,80,-0.51,0.20,1,150.5,10,85.6,15
3022434,452C,0,TJ DARKHORSE 452C,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,72,80,729,112,1164,110,0,0,1067.0,98,4.17,114,0.30,150,14.36,111,17.8,0.69,5,-5.1,0.83,2,62.6,0.80,90,93.9,0.80,90,10.5,0.50,5,16.8,0.48,95,48.1,0.57,99,19.7,0.33,5,10.3,0.53,75,28.2,0.66,70,0.00,0.48,99,0.39,0.62,35,0.022,0.49,99,0.44,0.60,85,-0.29,0.18,80,154.4,10,77.4,50
3132748,13D,0,HOOK`S DROVER 13D,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,76,89,670,104,1425,112,39.7,0,1430.0,111,3.82,96,0.43,154,14.40,103,15.1,0.55,20,-1.6,0.66,20,76.9,0.65,40,125.0,0.64,30,10.8,0.33,4,21.6,0.25,60,60.0,0.36,50,14.2,0.34,55,7.1,0.42,95,53.8,0.66,4,0.09,0.51,99,0.18,0.63,75,0.030,0.56,99,0.54,0.62,75,0.06,0.20,99,129.0,50,76.9,55
3405714,401F,0,LRS BADLANDS 401F,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,86,100,775,111,1348,111,41.3,0,1353.0,107,3.02,124,0.27,117,13.97,105,10.8,0.52,70,0.1,0.67,45,83.3,0.63,20,114.6,0.62,50,7.2,0.30,45,27.3,0.20,15,68.9,0.31,15,13.8,0.26,60,15.4,0.49,15,18.4,0.52,90,-0.42,0.40,10,0.44,0.50,25,-0.091,0.40,4,0.70,0.50,45,-0.29,0.05,80,135.3,35,86.1,15
3239491,D60,0,DFF SWEETWATER NS D60,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,76,102,806,104,1311,105,33.7,0,1320.0,105,5.33,113,0.42,140,14.18,108,11.4,0.58,65,1.3,0.70,70,97.3,0.65,2,152.2,0.61,3,8.3,0.34,25,30.9,0.22,3,79.5,0.33,1,17.8,0.33,15,15.6,0.48,10,35.5,0.60,40,0.07,0.47,99,0.60,0.55,10,0.011,0.53,99,0.23,0.57,99,0,0,0,157.3,10,96.6,2
3104364,5381C,0,BGIBBS 5381C AJAX,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,79,111,782,110,1354,117,0,0,1360.0,117,4.80,155,0.22,116,16.52,117,5.6,0.56,99,3.3,0.77,95,78.6,0.74,35,120.2,0.74,40,1.7,0.32,99,25.3,0.21,30,64.6,0.34,25,16.3,0.24,30,15.8,0.47,10,34.4,0.62,45,-0.24,0.48,45,0.71,0.60,4,-0.058,0.51,35,0.61,0.61,60,-0.37,0.18,35,142.4,25,85.2,20
2854180,56B,0,HOOK`S BEACON 56B,B,PB SM,B,P,Homozygous Polled,82,94,756,109,1397,108,0,0,1401.0,108,6.44,123,0.31,107,16.48,115,16.8,0.87,3,-3.4,0.95,1,79.7,0.94,40,121.1,0.93,35,12.1,0.80,1,27.2,0.81,25,67.0,0.85,25,22.4,0.57,1,12.5,0.37,35,42.8,0.81,10,-0.53,0.60,10,0.74,0.78,1,-0.031,0.73,99,1.83,0.79,1,-0.46,0.20,4,194.4,1,102.1,1
2722999,2698Z,0,GIBBS 2698Z BIG JOHN,B,PB SM,B,P,Homozygous Polled,72,93,766,119,1167,113,0,0,1131.0,107,2.99,131,0.11,122,13.26,108,9.3,0.59,70,2.7,0.76,75,77.6,0.73,45,122.1,0.69,30,4.2,0.41,80,17.0,0.43,95,55.8,0.52,80,13.2,0.37,85,12.4,0.33,35,38.5,0.63,20,-0.42,0.47,55,0.12,0.54,50,-0.083,0.46,60,1.06,0.60,15,-0.37,0.17,35,120.6,70,75.8,55
3618723,G104,840003206953109,KBHR ALL AMERICAN G104,B,PB SM,R,P,Homozygous Polled,91,0,883,0,1397,0,0,0,1292.0,107,2.37,78,0.16,73,16.95,112,13.0,0.43,20,1.5,0.48,45,104.3,0.50,1,156.9,0.50,1,7.3,0.28,25,23.9,0.25,45,76.0,0.33,4,12.7,0.30,90,15.9,0.36,10,45.7,0.51,10,-0.57,0.40,2,0.32,0.48,15,-0.115,0.43,10,1.35,0.49,1,-0.33,0.04,55,148.4,15,100.1,1
3295296,312E,0,GW VINDICATOR 312E,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,77,0,688,0,1196,0,0,0,1203.0,100,5.09,100,0.21,100,14.55,100,17.1,0.56,10,-2.9,0.71,10,69.9,0.67,70,116.9,0.67,45,9.6,0.29,15,26.9,0.17,20,61.8,0.30,40,16.5,0.30,30,11.8,0.31,55,39.2,0.57,30,-0.32,0.45,25,1.34,0.53,1,-0.078,0.50,15,0.79,0.53,25,-0.55,0.18,1,202.4,1,106.1,1
2912227,4118B,0,BAR CK NO EQUAL 4118B,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,75,89,590,96,1192,105,40.5,0,1200.0,104,5.87,156,0.45,237,11.90,87,21.1,0.70,1,-5.4,0.84,1,67.8,0.80,75,109.0,0.81,65,9.9,0.50,10,17.8,0.52,90,51.6,0.59,90,23.2,0.36,1,14.6,0.59,20,3.5,0.73,99,-0.05,0.55,95,1.00,0.68,1,0.005,0.62,99,0.14,0.70,99,0,0,0,203.5,1,97.1,2
3102045,437C,0,RC BILLBOARD NS 437C,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,77,0,704,0,1153,0,0,0,1153.0,108,3.85,114,0.33,165,13.83,101,21.2,0.59,1,-5.3,0.69,1,57.9,0.63,95,98.8,0.60,85,11.0,0.34,4,14.9,0.24,99,43.8,0.35,99,15.1,0.32,45,8.9,0.48,90,15.3,0.59,95,0.04,0.46,99,0.50,0.58,20,0.011,0.49,99,0.03,0.57,99,-0.29,0.20,80,156.6,10,78.3,45
3582543,259G,0,TJ FLAT IRON 259G,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,87,0,778,0,1363,0,38.8,0,0,0,0,0,0,0,0,0,20.3,0.44,1,-2.9,0.47,10,63.9,0.46,90,112.2,0.46,60,12.5,0.29,1,37.9,0.23,1,69.8,0.30,10,17.0,0.28,25,9.0,0.46,85,26.2,0.50,75,-0.03,0.40,95,0.66,0.47,10,0.004,0.44,99,0.35,0.48,95,-0.33,0.04,60,167.1,3,85.9,20
3655913,48G,840003210707069,EGL GLACIER 48G,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,74,0,640,0,1236,0,36.9,0,1226.0,98,5.20,144,0.34,94,16.00,117,18.4,0.43,3,-2.6,0.46,10,72.4,0.49,60,105.6,0.50,70,9.2,0.26,15,33.9,0.20,1,70.0,0.28,10,12.9,0.26,70,13.4,0.43,30,41.9,0.50,25,-0.37,0.39,15,0.70,0.46,4,-0.040,0.40,65,1.27,0.48,1,0,0,0,159.8,10,91.5,5
3163401,063D,0,RC XCEED 063D,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,87,104,636,108,1303,111,0,0,1312.0,109,4.56,143,0.31,129,13.74,101,13.4,0.69,35,-1.9,0.81,15,75.8,0.78,45,133.0,0.76,15,9.3,0.40,15,25.8,0.35,25,63.6,0.46,30,15.3,0.33,45,14.1,0.51,25,50.5,0.66,10,0.13,0.51,99,1.29,0.64,1,0.004,0.55,99,0.15,0.63,99,-0.27,0.16,90,191.8,1,105.0,1
3312184,E190,840003142544774,KBHR WENTZ E190,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,86,96,783,107,1583,113,0,0,1498.0,106,4.06,152,0.29,100,16.63,102,13.1,0.64,40,2.2,0.83,85,104.2,0.81,1,158.0,0.79,1,6.3,0.38,60,24.0,0.29,40,76.0,0.41,2,12.2,0.32,75,15.3,0.65,15,47.7,0.62,10,-0.16,0.47,70,0.01,0.57,99,-0.030,0.48,75,0.76,0.60,30,0,0,0,117.3,75,85.3,20
3253795,65E,840003144985015,HOOK`S ENCORE 65E,B,PB SM,B,P,Homozygous Polled,82,94,731,101,1282,98,39.7,0,1287.0,98,4.47,107,0.27,93,16.59,112,13.4,0.73,20,-0.6,0.85,15,78.3,0.82,45,115.5,0.81,45,10.3,0.41,2,24.7,0.24,40,63.8,0.37,40,17.1,0.37,40,15.1,0.52,10,20.4,0.69,85,-0.55,0.50,4,0.74,0.57,1,-0.062,0.52,95,1.38,0.64,1,-0.49,0.21,2,173.2,1,97.1,2
2978190,160C,0,NLC COW BOSS 160C,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,76,87,592,102,1120,108,0,0,1104.0,104,2.58,113,0.16,94,16.82,116,17.0,0.69,10,-2.1,0.88,15,75.7,0.84,45,102.4,0.83,80,8.5,0.50,25,14.1,0.52,99,51.9,0.61,90,21.9,0.32,1,12.2,0.37,45,7.8,0.64,99,-0.21,0.49,55,0.44,0.61,25,-0.025,0.53,75,0.46,0.61,85,-0.43,0.18,15,159.3,10,82.8,30
3080731,01C,0,EAGLE PASS CONVERSION,B,3/8 SM 5/8 AN,B,P,Homozygous Polled,69,0,616,0,1238,0,38.7,0,1209.0,94,4.27,100,0.27,108,17.16,114,18.2,0.68,4,-2.5,0.82,10,83.2,0.79,20,128.5,0.79,25,12.7,0.47,1,29.0,0.42,10,70.5,0.52,10,15.4,0.35,45,14.7,0.66,20,43.3,0.70,20,-0.06,0.52,95,0.64,0.66,10,-0.007,0.56,95,0.57,0.67,65,-0.52,0.18,1,162.1,5,93.7,3
3403314,2F,840003200620515,HOOK`S FLINT 2F,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,62,70,608,90,1181,91,34.0,0,1189.0,90,6.04,149,0.37,109,15.01,104,19.2,0.52,2,-7.0,0.57,1,56.6,0.52,99,81.7,0.52,99,12.7,0.33,1,23.3,0.28,45,51.5,0.36,90,18.4,0.35,15,11.6,0.33,55,26.1,0.52,75,-0.32,0.42,25,0.75,0.50,3,-0.008,0.46,95,1.15,0.51,2,-0.38,0.09,30,175.8,2,87.2,15
2976529,JC102C,0,JC ENGINEER 102C,B,PB SM,B,P,Homozygous Polled,66,74,716,95,1318,102,0,0,1307.0,102,2.34,92,0.26,104,16.91,112,18.3,0.72,1,-3.6,0.84,1,72.2,0.80,70,120.6,0.79,35,13.1,0.45,1,23.6,0.38,50,59.7,0.48,60,17.4,0.35,35,9.1,0.46,80,40.7,0.70,15,-0.41,0.53,60,0.14,0.62,45,-0.082,0.60,60,1.03,0.65,20,-0.54,0.19,1,152.6,10,83.0,25
3374442,E3,0,WLE SMITH MULTITASK E3,B,PB SM,B,P,Homozygous Polled,79,0,740,0,1218,0,0,0,0,0,0,0,0,0,0,0,15.2,0.52,10,-1.3,0.60,10,66.4,0.55,90,91.3,0.52,95,5.8,0.28,50,19.0,0.18,85,52.2,0.28,95,16.8,0.29,45,11.5,0.32,50,11.7,0.51,99,-0.46,0.40,35,0.21,0.46,30,-0.084,0.40,60,0.80,0.49,70,-0.40,0.08,20,140.7,25,76.3,50
3568976,8035F,0,GIBBS 8035F XCITE,B,5/8 SM 3/8 AN,B,P,Homozygous Polled,63,91,740,106,1156,95,0,0,0,0,0,0,0,0,0,0,13.5,0.41,35,-1.2,0.46,25,79.0,0.45,35,123.6,0.46,35,8.4,0.22,25,26.2,0.14,20,65.6,0.24,25,19.7,0.23,5,12.4,0.34,45,32.5,0.46,55,-0.08,0.37,90,0.86,0.41,2,0.000,0.38,99,0.55,0.45,70,-0.32,0.05,65,175.5,2,95.4,2
3256504,6155D,0,GIBBS 6155D SUPER DUTY,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,54,69,691,102,1225,103,0,0,1233.0,104,3.16,118,0.18,100,13.90,102,18.9,0.59,3,-2.4,0.71,10,74.6,0.69,50,117.3,0.70,45,12.8,0.32,1,29.5,0.23,10,66.8,0.36,20,17.1,0.28,25,16.1,0.42,10,48.3,0.64,10,-0.05,0.48,95,0.42,0.61,30,-0.004,0.52,95,0.64,0.60,55,-0.35,0.18,50,153.8,10,84.2,25
3405618,902F,0,LRS TOPSHELF 902F,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,80,0,778,0,1464,0,38.5,0,1471.0,107,2.55,106,0.19,106,16.03,108,15.7,0.51,15,0.6,0.60,55,89.3,0.55,10,140.5,0.53,10,10.5,0.31,5,17.6,0.25,90,62.2,0.33,40,15.9,0.28,35,11.0,0.45,65,51.8,0.49,5,-0.10,0.40,85,0.47,0.46,20,-0.025,0.43,75,0.65,0.49,50,-0.17,0.04,99,150.9,15,89.4,10
3026655,6018C,0,CCR ABILENE 6018C,B,3/4 SM 1/4 AN,B,P,Homozygous Polled,92,0,874,0,1548,0,0,0,1552.0,111,4.82,126,0.28,100,15.44,110,9.4,0.65,85,3.4,0.86,95,90.4,0.84,10,143.8,0.83,10,7.4,0.52,40,16.4,0.52,95,61.6,0.60,40,17.4,0.38,20,7.8,0.57,95,34.1,0.74,45,-0.33,0.56,20,0.84,0.72,2,-0.053,0.66,35,0.94,0.70,10,-0.38,0.20,30,162.7,4,96.1,2
3303694,E7215,0,ASR BLACK NOMAD E7215,B,PB SM,B,P,Homozygous Polled,102,0,651,0,1236,0,0,0,1237.0,113,4.13,144,0.15,107,14.52,110,13.2,0.51,20,0.2,0.61,25,70.2,0.60,75,105.0,0.58,70,5.9,0.29,50,20.6,0.22,75,55.6,0.34,80,20.7,0.30,5,8.3,0.32,85,29.3,0.54,50,-0.45,0.42,40,0.24,0.52,25,-0.086,0.45,60,0.98,0.52,30,-0.28,0.20,85,147.8,15,77.9,45
3164369,7596D,0,SCHIEFELBEIN GRIZZLY 7596,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,92,0,813,0,0,0,0,0,1474.0,106,2.88,96,0.49,158,17.58,106,6.4,0.57,99,2.1,0.63,85,78.6,0.59,35,130.2,0.57,20,5.4,0.36,75,18.6,0.29,85,57.9,0.37,60,17.5,0.32,20,14.2,0.47,20,23.1,0.55,85,-0.15,0.43,75,0.02,0.51,99,-0.013,0.45,90,0.57,0.53,65,-0.28,0.18,85,111.7,85,69.2,85
3313620,E532,0,SAS BITTEN E532,B,PB SM,B,P,Homozygous Polled,78,86,841,113,0,0,0,0,1282.0,110,3.53,104,0.30,125,15.96,114,10.4,0.56,55,3.5,0.66,90,84.2,0.63,25,127.0,0.62,25,5.9,0.29,50,38.5,0.24,1,80.5,0.36,1,16.4,0.33,50,12.8,0.39,30,14.0,0.62,99,-0.41,0.48,60,0.19,0.59,35,-0.098,0.51,40,0.59,0.59,99,-0.36,0.05,40,132.7,40,82.6,25
3499731,F151,840003150639935,KBHR CIMARRON F151,B,PB SM,B,P,Homozygous Polled,76,0,634,0,1313,0,0,0,1197.0,102,2.93,95,0.17,89,15.69,99,15.9,0.53,4,-4.9,0.61,1,64.6,0.57,95,96.7,0.58,90,11.7,0.34,1,26.9,0.29,25,59.2,0.37,65,22.8,0.32,1,14.4,0.34,15,30.7,0.56,45,-0.34,0.44,90,0.95,0.49,1,-0.026,0.48,99,1.13,0.53,10,-0.39,0.05,25,201.1,1,99.0,1
3404807,7382E,0,GIBBS 7382E BROAD RANGE,B,PB SM,B,P,Homozygous Polled,67,87,840,117,1215,113,0,0,1216.0,109,4.24,150,0.26,144,14.83,108,14.5,0.61,10,-0.9,0.78,10,94.8,0.74,4,152.9,0.71,2,9.6,0.33,4,20.7,0.29,75,68.1,0.40,20,17.8,0.32,30,13.9,0.47,20,38.8,0.61,20,-0.33,0.47,90,0.34,0.57,15,-0.031,0.51,99,1.18,0.58,5,-0.43,0.08,10,162.5,3,97.0,2
3569025,8084F,0,GIBBS 8084F RANGE FINDER,B,PB SM,B,P,Homozygous Polled,77,0,587,0,1279,0,0,0,0,0,0,0,0,0,0,0,12.6,0.44,25,1.9,0.49,55,90.3,0.50,10,153.0,0.51,2,8.4,0.28,15,20.7,0.24,75,65.8,0.32,30,17.3,0.31,35,13.4,0.36,25,48.9,0.50,3,-0.41,0.40,60,0.14,0.47,45,-0.052,0.44,99,1.38,0.48,1,-0.43,0.08,10,143.2,20,86.6,15
2722668,2905Z,0,GIBBS 2905Z MR CLEAN,B,1/2 SM 1/2 AN,B,P,Homozygous Polled,70,105,717,100,1094,99,0,0,1075.0,98,4.62,156,0.14,108,14.12,107,9.4,0.58,85,1.0,0.74,65,75.0,0.72,50,117.7,0.71,45,3.9,0.32,95,22.8,0.24,50,60.2,0.35,50,20.6,0.27,3,10.9,0.47,65,26.6,0.66,75,-0.07,0.50,90,0.61,0.64,10,0.002,0.56,99,0.47,0.62,85,-0.26,0.16,90,153.1,10,83.3,25
3133113,685D,0,KOCH BIG TIMBER 685D,B,PB SM,B,P,Homozygous Polled,88,99,740,103,1257,103,0,0,1275.0,103,4.54,137,0.32,133,15.53,110,16.3,0.83,3,-4.3,0.93,1,76.4,0.91,50,114.0,0.89,50,7.9,0.56,15,32.0,0.49,5,70.2,0.58,15,17.7,0.34,30,8.3,0.52,85,30.2,0.74,50,-0.19,0.56,99,0.35,0.68,10,-0.042,0.59,99,0.55,0.74,99,-0.47,0.21,3,160.6,4,90.0,10
2770705,107A,0,JBS MR FORCE 107A,B,PB SM,B,P,Homozygous Polled,92,98,720,108,0,0,0,0,1421.0,109,3.40,90,0.32,107,16.43,114,10.6,0.68,55,1.7,0.81,50,76.5,0.77,50,114.1,0.75,50,5.7,0.47,50,38.1,0.56,1,76.3,0.64,3,19.0,0.44,20,8.5,0.35,85,27.5,0.67,60,-0.57,0.50,2,0.25,0.61,20,-0.081,0.55,60,1.37,0.62,1,-0.48,0.22,2,142.3,20,82.2,25
3502250,6184,0,MILL BRAE COMRADE 6184,B,PB AN,B,P,Homozygous Polled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0.44,10,-1.7,0.49,15,68.3,0.47,75,115.9,0.47,50,6.5,0.29,60,19.1,0.21,80,53.3,0.28,85,11.4,0.14,85,13.8,0.37,25,35.4,0.46,40,0.13,0.34,99,0.62,0.28,10,0.037,0.28,99,0.24,0.44,99,-0.13,0.02,99,132.6,40,75.0,60
